"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"1",1,2,2020,"May","2020 May","Alabama",39541.8929137607,85.0673009373786,646501.252902103,892.622537741933,2250426.5409127,"scenario 3",0.0953004179712662,0.287279429543122
"2",1,6,2020,"Jun","2020 June","Alabama",24898.3450563141,124.742747749865,449156.959139163,879.951471829861,2240256.10044072,"scenario 3",0.141760939941906,0.200493577073978
"3",1,10,2020,"Jul","2020 July","Alabama",36669.9932967535,108.382541411362,347283.731945569,879.958965243601,2298335.65608798,"scenario 3",0.123167722237318,0.151102268733316
"4",2,13,2020,"Aug","2020 August","Alabama",41321.0534212856,88.0000000000032,267213.309847039,885.999999999985,2247906.69456668,"scenario 3",0.0993227990970708,0.118872064615897
"5",2,14,2020,"Sep","2020 September","Alabama",27205.7357645765,79.5023609955,232270.507405994,999.420560137468,2184602.76539292,"scenario 3",0.0795484545410639,0.106321621067901
"6",2,17,2020,"Oct","2020 October","Alabama",26250.0979211527,52.5945689484745,221358.443886194,1054.32444079948,2203185.19702376,"scenario 3",0.0498846151271926,0.100472009427634
"7",3,19,2020,"Nov","2020 November","Alabama",37075.9201013087,42.4594159979789,243215.205975063,1058.6681518388,2190082.11108702,"scenario 3",0.0401064449933921,0.11105300789583
"8",3,21,2020,"Dec","2020 December","Alabama",64289.7826212533,54.2959517474466,281970.326016269,1029.80396160767,2161757.7148266,"scenario 3",0.0527245512463199,0.130435674674526
"9",3,22,2021,"Jan","2021 January","Alabama",41004.3119893775,43.270118249286,248615.395766155,1045.26960604315,2158518.19623829,"scenario 3",0.0413961316765771,0.115178735207988
"10",3,24,2021,"Feb","2021 February","Alabama",23832.6865261699,45.0226433167206,248388.186831984,1062.12968958176,2185900.93957286,"scenario 3",0.0423890262727232,0.113631950256868
"11",3,26,2021,"Mar","2021 March","Alabama",32341.6966651239,44.6623506460151,228138.614896313,1034.85061517617,2178447.87644445,"scenario 3",0.0431582587776807,0.104725303443417
"12",1,2,2020,"May","2020 May","Alaska",5417.29799837335,84.8261282578661,69753.9272495069,567.757724815008,325486.290292233,"scenario 3",0.149405502647287,0.214306805939136
"13",1,6,2020,"Jun","2020 June","Alaska",3145.08252433422,113.53951803364,61501.6138875434,548.746836495701,330948.146709555,"scenario 3",0.206906920427466,0.185834592213378
"14",1,10,2020,"Jul","2020 July","Alaska",4120.57573633676,118.416364337076,59554.5866522946,605.961205108932,342137.50645767,"scenario 3",0.195419052141776,0.174066232226027
"15",2,13,2020,"Aug","2020 August","Alaska",4918.43915020275,130.000002930912,39365.8009591495,632.999997720027,343490.595694163,"scenario 3",0.205371253395187,0.114605178286162
"16",2,14,2020,"Sep","2020 September","Alaska",3668.95317538103,116.898446705411,36002.8734058017,625.169831269488,337053.887071948,"scenario 3",0.186986704825525,0.106816372060164
"17",2,17,2020,"Oct","2020 October","Alaska",4115.96086009563,95.4746055076131,35290.6322356889,618.199301366725,344794.91436229,"scenario 3",0.154439846982254,0.102352531216883
"18",3,19,2020,"Nov","2020 November","Alaska",5624.66399271311,103.539404302983,38302.3565876126,607.459953696838,342942.402349384,"scenario 3",0.17044646922463,0.111687433006872
"19",3,21,2020,"Dec","2020 December","Alaska",8880.8796676236,98.9072858691738,42525.4133753894,610.074419258902,343348.132078954,"scenario 3",0.162123312741621,0.123855088763409
"20",3,22,2021,"Jan","2021 January","Alaska",6301.96186310609,80.6329529438004,38058.7278649566,609.754860512128,341910.875657844,"scenario 3",0.132238311107643,0.111311837600166
"21",3,24,2021,"Feb","2021 February","Alaska",3339.86355130892,78.4399841088991,36763.5929971653,622.97707678113,335335.526159567,"scenario 3",0.125911509479918,0.109632264192824
"22",3,26,2021,"Mar","2021 March","Alaska",4326.24227552045,78.3253319225852,35771.8400613691,589.898768275898,331238.252785174,"scenario 3",0.132777581739164,0.107994290395467
"23",1,2,2020,"May","2020 May","Arizona",57591.9326245931,124.436092475587,836159.018241552,692.31308412017,3460666.7656773,"scenario 3",0.179739622621356,0.241617894717437
"24",1,6,2020,"Jun","2020 June","Arizona",38215.4562638912,202.501453947182,681826.695731501,682.389050231138,3536373.30433044,"scenario 3",0.296753668422129,0.192803936987244
"25",1,10,2020,"Jul","2020 July","Arizona",69148.2652808244,168.918654865503,524686.111801821,711.940782146211,3574822.4588107,"scenario 3",0.23726503538157,0.146772634962234
"26",2,13,2020,"Aug","2020 August","Arizona",53803.7818707653,189.000002718624,482926.013652144,689.999999999983,3487934.98100066,"scenario 3",0.273913047418302,0.138456139888707
